id,Biota_Overlap,DEM,Endemicity,NDVI,Rel_Occupancy,Rel_Species_Richness,longitude,latitude,LST_C
7706,-0.986809196174594,470.08357006855545,0.7628880987227594,0.7914896950818546,0.2118829887026043,0.4703079136751897,-62.50007334999999,3.755528549999999,26.29924878590481
7707,-1.047379347178404,207.7588548379464,0.7628880987227594,0.6318957433583539,0.2118829887026043,0.6053468195819272,-61.50007405,3.7555285499999997,30.439983791989334
7708,-1.0513667238902538,127.02417617448684,0.7864854256871816,0.358865184915399,0.1976611534608795,0.7403857254886647,-60.50007475,3.7555285499999993,35.01066097599363
7764,1.188209862598584,2129.4881274033287,-0.5469917081148773,0.6621162467068233,-0.9823788609417032,1.7597592610569497,-76.50006325,2.7482868500000004,21.15368066410889
7765,1.8340930452927744,1635.3444739986608,-0.6629967038646735,0.6736354016810092,-0.5991002053568941,0.7685603705136071,-75.50006395,2.7482868500000004,23.48835779740193
7766,2.1279486897172295,903.6098808620544,-1.1783270290290493,0.7047318077785388,-0.5443461117019213,0.1738410361876017,-74.50006465000003,2.7482868500000004,25.651494857856846
7767,-0.4222334420737397,310.4810193990865,0.3745266642732717,0.6798975381132388,1.0367494327226454,-0.4074449747186042,-73.50006535,2.7482868500000004,28.41188386832357
7768,-0.6822612700502068,214.44041004432543,0.4202317986303536,0.6262508172102196,1.0723040208269576,-0.5424838806253416,-72.5000661,2.74828685,30.24602925141943
7769,-0.8697986771899611,195.11068563121157,0.4236309662281204,0.7646215368075825,1.0723040208269576,-0.5424838806253416,-71.50006685,2.7482868500000004,28.078827368597445
7770,-0.8540808462815775,192.2793126709861,0.421931382429237,0.7839554024414,1.1363022794147193,-0.7450422394854479,-70.50006755,2.7482868500000004,27.670816552178678
7771,-0.983034663304122,177.07683246548368,0.4236309662281204,0.788017768133797,1.2287442084859312,-0.9476005983455542,-69.50006825,2.7482868500000004,27.78782206500756
7772,-0.986809196174594,136.9729565095588,0.4251704034447603,0.7798435200931628,1.193189620381619,-0.8800811453921854,-68.50006895000001,2.7482868499999995,28.080120104715434
7773,-1.089778452881071,113.66390647446408,0.619153895905897,0.744025089993477,0.7380908926464237,-0.0023282569983915,-67.5000697,2.74828685,28.089452781146235
7774,-1.0431998077334532,118.97343487188768,0.7389980290681264,0.7577789180187035,0.4394323525702018,0.4703079136751897,-66.50007045000001,2.7482868500000004,28.055727310560258
7775,-0.986809196174594,172.43724272476774,0.7736924158434906,0.8009505693766396,0.2581039532382103,0.4703079136751897,-65.50007114999998,2.7482868500000004,27.851091495235494
7776,-0.9922515458948096,600.5437354809444,0.7864854256871816,0.7566381175655948,0.1016637655792366,0.6053468195819272,-64.50007185000001,2.7482868500000004,25.877527970863014
7777,-1.0410335830211312,676.7647265974028,0.7716865168368683,0.6810491119071962,0.1763284005982922,0.4027884607218209,-63.50007259999999,2.74828685,24.963157199310672
7778,-1.0931823952515332,297.04224287240265,0.7716865168368683,0.7919181861910741,0.6954253869212493,0.1327106489083459,-62.500073349999994,2.7482868500000004,26.81889216715689
7779,-1.0388138712788753,153.85329393693766,0.7125454924769296,0.654442904031772,0.6527598811960746,0.3352690077684522,-61.50007405000001,2.7482868500000004,29.74925286795434
