id,Biota_Overlap,DEM,Endemicity,NDVI,Rel_Occupancy,Rel_Species_Richness,longitude,latitude,LST_C
6676,-1.135760611259276,220.3355072195536,0.6887649055005151,0.8046809267789563,0.0801062810516566,0.6570204328124744,-70.50006755000001,0.7359804000000002,27.33045391182435
6677,-1.135760611259276,157.2135648741294,0.7720999121471592,0.7998426628698005,0.0703180198441261,0.7297900716546795,-69.50006825000001,0.7359804000000001,27.571872597182107
6678,-1.135760611259276,120.7773703500536,0.6814523639999625,0.7775838064566871,0.0801062810516566,0.6570204328124744,-68.50006895000001,0.7359804,27.818993099974648
6679,-1.135760611259276,102.03663077089548,0.631769453532001,0.7858045926553696,0.0703180198441261,0.7297900716546795,-67.50006970000001,0.7359804000000001,27.69240089529535
6680,-1.135760611259276,165.80461898465217,0.7304324088238372,0.7447007987037679,-0.0079880698161182,1.0572534464446015,-66.50007045000002,0.7359804000000001,27.874352671959855
6681,-1.135760611259276,453.3187630491265,0.6814523639999625,0.7508614245237284,0.0115884525989429,0.8753293493390893,-65.50007115,0.7359804000000001,26.785072644516276
6682,-1.135760611259276,115.96454997196965,0.6255723415224004,0.8133148565754877,0.0703180198441261,0.7297900716546795,-64.50007185000001,0.7359804000000001,28.451362503715472
6683,-1.135760611259276,189.3293205180401,0.5644030912246846,0.6710913343604602,0.0801062810516566,0.6570204328124744,-63.5000726,0.7359804000000001,28.545869854173304
6684,-1.1001865476136727,59.85778978343585,0.6284933246331517,0.7192249889404078,0.0752121504478913,0.6934052522335769,-62.50007335,0.7359804000000002,28.751392479044682
6685,-1.0666026413748166,46.42357435165088,0.6314143077439028,0.6740414373209603,0.0409532362215344,0.8025597104968845,-61.50007405,0.7359804000000001,28.785847986192096
6686,-1.1011816263170462,89.57697324851296,0.6315918806379519,0.7628940118418542,0.0262708444102386,0.8389445299179868,-60.500074749999996,0.7359804000000001,28.86881884385923
