system:index,Biota_Overlap,DEM,Endemicity,LST_Day_1km,NDVI,Rel_Occupancy,Rel_Species_Richness,id,.geo
5,0.5923102531127463,2129.4881274033287,0.3889684887839358,14715.184033205445,0.6621162467068233,-1.1992100666599266,0.34613425334684506,6005,"{""type"":""Polygon"",""coordinates"":[[[-77.0000629,2.2449108000000004],[-76.0000636,2.2449108000000004],[-76.0000636,3.2516629],[-77.0000629,3.2516629],[-77.0000629,2.2449108000000004]]]}"
6,2.5035238691504786,1635.3444739986608,-1.085156724445995,14831.917889870097,0.6736354016810092,0.24878745990818618,-1.9085766800366561,6006,"{""type"":""Polygon"",""coordinates"":[[[-76.0000636,2.2449108000000004],[-75.0000643,2.2449108000000004],[-75.0000643,3.2516628999999995],[-76.0000636,3.2516629],[-76.0000636,2.2449108000000004]]]}"
7,0.190555537082569,903.6098808620544,0.7618480945507524,14940.074742892839,0.7047318077785388,1.1514643079752613,-1.050615430422102,6007,"{""type"":""Polygon"",""coordinates"":[[[-75.0000643,2.2449108000000004],[-74.000065,2.2449108000000004],[-74.000065,3.2516629],[-75.0000643,3.2516628999999995],[-75.0000643,2.2449108000000004]]]}"
8,-0.6977336303290359,310.4810193990865,0.7618480945507524,15078.094193416176,0.6798975381132388,1.1438313433273388,-0.6000713459527062,6008,"{""type"":""Polygon"",""coordinates"":[[[-74.000065,2.2449108000000004],[-73.0000657,2.2449108],[-73.0000657,3.2516628999999995],[-74.000065,3.2516629],[-74.000065,2.2449108000000004]]]}"
9,-1.067854116750538,214.44041004432546,0.7618480945507524,15169.801462570973,0.6262508172102196,1.220160989806563,-0.9004340689323034,6009,"{""type"":""Polygon"",""coordinates"":[[[-73.0000657,2.2449108],[-72.0000665,2.2449108000000004],[-72.0000665,3.2516629],[-73.0000657,3.2516628999999995],[-73.0000657,2.2449108]]]}"
10,-1.067854116750538,195.11068563121157,0.7967969999514561,15061.44136842987,0.7646215368075825,1.2735917423420196,-0.9755247496772027,6010,"{""type"":""Polygon"",""coordinates"":[[[-72.0000665,2.2449108000000004],[-71.0000672,2.2449108000000004],[-71.0000672,3.2516629],[-72.0000665,3.2516629],[-72.0000665,2.2449108000000004]]]}"
11,-0.9784665275770431,192.27931267098606,0.9793029926791286,15041.040827608933,0.7839554024414,1.220160989806563,-0.8628887285598538,6011,"{""type"":""Polygon"",""coordinates"":[[[-71.0000672,2.2449108000000004],[-70.0000679,2.2449108000000004],[-70.0000679,3.2516629],[-71.0000672,3.2516629],[-71.0000672,2.2449108000000004]]]}"
12,-0.9099360425440304,177.07683246548368,1.0224664911833137,15046.891103250375,0.788017768133797,1.1400148610033776,-0.6376166863251558,6012,"{""type"":""Polygon"",""coordinates"":[[[-70.0000679,2.2449108000000004],[-69.0000686,2.2449108],[-69.0000686,3.2516628999999995],[-70.0000679,3.2516629],[-70.0000679,2.2449108000000004]]]}"
13,-0.8457818248976366,136.9729565095588,1.0312360746047948,15061.506005235771,0.7798435200931628,1.0904005907918823,-0.5249806652078068,6013,"{""type"":""Polygon"",""coordinates"":[[[-69.0000686,2.2449108],[-68.0000693,2.2449108000000004],[-68.0000693,3.2516629],[-69.0000686,3.2516628999999995],[-69.0000686,2.2449108]]]}"
14,-0.8704565239924035,113.66390647446407,1.0478044388549739,15061.97263905731,0.744025089993477,0.8079808988187535,-0.2246179422282095,6014,"{""type"":""Polygon"",""coordinates"":[[[-68.0000693,2.2449108000000004],[-67.0000701,2.2449108000000004],[-67.0000701,3.2516629],[-68.0000693,3.2516629],[-68.0000693,2.2449108000000004]]]}"
