system:index,Biota_Overlap,DEM,Endemicity,LST_Day_1km,NDVI,Rel_Occupancy,Rel_Species_Richness,id,.geo
0,-1.0242525622496765,179.16037382790407,0.578909712440783,15033.744493171556,0.785163752675268,0.43943235257020186,-0.06984770995176036,8000,"{""type"":""Polygon"",""coordinates"":[[[-72.0000665,-0.7725084],[-71.0000672,-0.7725084],[-71.0000672,0.23312750000000002],[-72.0000665,0.23312750000000004],[-72.0000665,-0.7725084]]]}"
1,-1.00401662543704,163.5495462996149,0.5534951050976212,15033.818970937164,0.7888742355467321,1.0723040208269576,-0.5424838806253416,8001,"{""type"":""Polygon"",""coordinates"":[[[-71.0000672,-0.7725084],[-70.0000679,-0.7725084000000001],[-70.0000679,0.23312750000000004],[-71.0000672,0.23312750000000002],[-71.0000672,-0.7725084]]]}"
2,-1.0102112999715207,152.38109139769793,0.6140817236915214,15042.116416989475,0.7947738400982769,1.0367494327226454,-0.4074449747186042,8002,"{""type"":""Polygon"",""coordinates"":[[[-70.0000679,-0.7725084000000001],[-69.0000686,-0.7725084],[-69.0000686,0.23312750000000004],[-70.0000679,0.23312750000000004],[-70.0000679,-0.7725084000000001]]]}"
3,-1.0783826458147416,113.44778836763163,0.5876305576915563,15058.03404590875,0.8006550471970404,1.0367494327226454,-0.4074449747186042,8003,"{""type"":""Polygon"",""coordinates"":[[[-69.0000686,-0.7725084],[-68.0000693,-0.7725084000000001],[-68.0000693,0.23312750000000004],[-69.0000686,0.23312750000000004],[-69.0000686,-0.7725084]]]}"
4,-1.1570063146976965,92.2414241731615,0.6559717969163642,15043.264182423816,0.7668872531525132,0.43943235257020186,0.20023010186171467,8004,"{""type"":""Polygon"",""coordinates"":[[[-68.0000693,-0.7725084000000001],[-67.0000701,-0.7725084000000001],[-67.0000701,0.23312750000000004],[-68.0000693,0.23312750000000004],[-68.0000693,-0.7725084000000001]]]}"
5,-1.1593997116769277,86.6401224998199,0.7540896806086504,15048.274986203414,0.7902530224534027,0.26877032966950376,0.40278846072182095,8005,"{""type"":""Polygon"",""coordinates"":[[[-67.0000701,-0.7725084000000001],[-66.0000708,-0.7725084],[-66.0000708,0.23312750000000004],[-67.0000701,0.23312750000000004],[-67.0000701,-0.7725084000000001]]]}"
6,-1.1593997116769277,71.52888204132638,0.758976080844286,15060.126155976805,0.7662694583959195,0.24743757680691644,0.40278846072182095,8006,"{""type"":""Polygon"",""coordinates"":[[[-66.0000708,-0.7725084],[-65.0000715,-0.7725084000000001],[-65.0000715,0.23312750000000004],[-66.0000708,0.23312750000000004],[-66.0000708,-0.7725084]]]}"
7,-1.1593997116769277,58.12585169122896,0.758976080844286,15063.97892746094,0.752381959070525,0.24743757680691644,0.40278846072182095,8007,"{""type"":""Polygon"",""coordinates"":[[[-65.0000715,-0.7725084000000001],[-64.0000722,-0.7725084],[-64.0000722,0.23312750000000002],[-65.0000715,0.23312750000000004],[-65.0000715,-0.7725084000000001]]]}"
8,-1.1593997116769277,43.76747821167428,0.7716865168368683,15085.606889733792,0.6865370517935094,0.24743757680691644,0.40278846072182095,8008,"{""type"":""Polygon"",""coordinates"":[[[-64.0000722,-0.7725084],[-63.00007299999999,-0.7725084000000001],[-63.00007299999999,0.23312750000000004],[-64.0000722,0.23312750000000002],[-64.0000722,-0.7725084]]]}"
9,-1.1561665262839311,44.696690964884176,0.758976080844286,15094.782818270278,0.7229845352542289,0.24743757680691644,0.1327106489083459,8009,"{""type"":""Polygon"",""coordinates"":[[[-63.00007299999999,-0.7725084000000001],[-62.0000737,-0.7725084000000001],[-62.0000737,0.23312750000000004],[-63.00007299999999,0.23312750000000004],[-63.00007299999999,-0.7725084000000001]]]}"
