system:index,Biota_Overlap,DEM,Endemicity,LST_Day_1km,NDVI,Rel_Occupancy,Rel_Species_Richness,id,.geo
1521,1.768433682923892,545.0213234079148,-0.3958591454497353,14863.502159801139,,-1.3346095041662962,0.623138318923685,7521,"{""type"":""Polygon"",""coordinates"":[[[-77.0000629,5.2684122],[-76.0000636,5.2684122],[-76.0000636,6.2790281],[-77.0000629,6.2790281],[-77.0000629,5.2684122]]]}"
1522,1.617491532975191,1787.572137141113,-0.4563576782551011,14790.18042408255,0.6584632460303859,-0.48348410254141433,0.9318886621209065,7522,"{""type"":""Polygon"",""coordinates"":[[[-76.0000636,5.2684122],[-75.0000643,5.2684122],[-75.0000643,6.2790281],[-76.0000636,6.2790281],[-76.0000636,5.2684122]]]}"
1523,2.0971943728301436,688.0690012262172,-0.8757099854636794,15001.883908730744,0.6665972694348133,-0.19977563533312018,0.1837628305276393,7523,"{""type"":""Polygon"",""coordinates"":[[[-75.0000643,5.2684122],[-74.000065,5.2684122],[-74.000065,6.2790281],[-75.0000643,6.2790281],[-75.0000643,5.2684122]]]}"
1524,1.9788061719685046,2584.228475970394,-0.779016519883717,14719.146092163688,0.6171871600857712,0.08393283187517393,0.5756382661241125,7524,"{""type"":""Polygon"",""coordinates"":[[[-74.000065,5.2684122],[-73.0000657,5.2684122],[-73.0000657,6.2790281],[-74.000065,6.2790281],[-74.000065,5.2684122]]]}"
1525,2.5303347895753387,1763.586775936468,-0.8289935687229327,14771.149923386436,0.5570721078357266,0.46221078815289934,-0.06561244667011638,7525,"{""type"":""Polygon"",""coordinates"":[[[-73.0000657,5.2684122],[-72.0000665,5.2684122],[-72.0000665,6.2790281],[-73.0000657,6.2790281],[-73.0000657,5.2684122]]]}"
1526,0.2713887341922062,172.89959881984188,-0.14563392132958308,15249.096224735196,0.5238848874819323,0.6109606426573638,-0.7073594472114318,7526,"{""type"":""Polygon"",""coordinates"":[[[-72.0000665,5.2684122],[-71.0000672,5.2684122],[-71.0000672,6.2790281],[-72.0000665,6.2790281],[-72.0000665,5.2684122]]]}"
1527,-0.5471832348251985,112.87184294433135,-0.05998813194074552,15285.843021036035,0.49146101249225044,0.7818535675179499,-1.0064312325030424,7527,"{""type"":""Polygon"",""coordinates"":[[[-71.0000672,5.2684122],[-70.0000679,5.2684122],[-70.0000679,6.2790281],[-71.0000672,6.2790281],[-71.0000672,5.2684122]]]}"
1528,-0.5391890032322002,108.08954473926494,-0.045113875197479086,15331.105976677889,0.4665885720880065,0.8073057052631434,-1.0546686172274957,7528,"{""type"":""Polygon"",""coordinates"":[[[-70.0000679,5.2684122],[-69.0000686,5.268412199999999],[-69.0000686,6.279028099999999],[-70.0000679,6.2790281],[-70.0000679,5.2684122]]]}"
1529,-0.6101092577929416,89.11217338011825,0.08379230460570815,15348.28227509934,0.45388405654700986,0.3309871274602337,-0.33110784636069596,7529,"{""type"":""Polygon"",""coordinates"":[[[-69.0000686,5.268412199999999],[-68.0000693,5.2684122],[-68.0000693,6.2790281],[-69.0000686,6.279028099999999],[-69.0000686,5.268412199999999]]]}"
1530,-0.6570932731577953,181.30930105173871,0.22540026654343417,15255.015984321164,0.5866007401690534,-0.09442717485228833,0.9134166795301997,7530,"{""type"":""Polygon"",""coordinates"":[[[-68.0000693,5.2684122],[-67.0000701,5.2684122],[-67.0000701,6.2790281],[-68.0000693,6.2790281],[-68.0000693,5.2684122]]]}"
1531,-0.6616802089469567,653.398702928099,0.2473687784705253,14966.58552081555,0.726601130138468,-0.21077980454460188,1.2414308956564823,7531,"{""type"":""Polygon"",""coordinates"":[[[-67.0000701,5.2684122],[-66.0000708,5.2684122],[-66.0000708,6.2790281],[-67.0000701,6.2790281],[-67.0000701,5.2684122]]]}"
1532,-0.7245683816753208,827.1504517017397,0.268774120923447,14876.660736818882,0.7374126579329958,-0.28350019810229815,1.1449561262075756,7532,"{""type"":""Polygon"",""coordinates"":[[[-66.0000708,5.2684122],[-65.0000715,5.2684122],[-65.0000715,6.2790281],[-66.0000708,6.2790281],[-66.0000708,5.2684122]]]}"
1533,-0.7853473298357516,362.5530280309765,0.25166008558061903,14932.686664998135,0.7898584441324835,-0.21077980454460188,0.932711633419981,7533,"{""type"":""Polygon"",""coordinates"":[[[-65.0000715,5.2684122],[-64.0000722,5.2684122],[-64.0000722,6.2790281],[-65.0000715,6.2790281],[-65.0000715,5.2684122]]]}"
1534,-0.7442410435926047,511.86373028484985,0.2570228301561704,14946.079307378264,0.7299401553699405,-0.23259592261191095,0.9616540642546529,7534,"{""type"":""Polygon"",""coordinates"":[[[-64.0000722,5.2684122],[-63.00007299999999,5.2684122],[-63.00007299999999,6.2790281],[-64.0000722,6.2790281],[-64.0000722,5.2684122]]]}"
1535,-0.6602800850478009,885.3673998980192,0.28783556175301506,14902.238729281085,0.6941340026133043,-0.42166894586192055,1.2221359417667008,7535,"{""type"":""Polygon"",""coordinates"":[[[-63.00007299999999,5.2684122],[-62.0000737,5.2684122],[-62.0000737,6.2790281],[-63.00007299999999,6.2790281],[-63.00007299999999,5.2684122]]]}"
1536,-0.6356581693738298,1139.4369583444377,0.300615717379105,14912.257183933352,0.6358347215348246,-0.4398490442513446,1.4054380037196235,7536,"{""type"":""Polygon"",""coordinates"":[[[-62.0000737,5.2684122],[-61.0000744,5.2684122],[-61.0000744,6.279028099999999],[-62.0000737,6.2790281],[-62.0000737,5.2684122]]]}"
